"You will be redirected to Worldpay in a few seconds.","Sie werden an Worldpay weitergeleitet."
"Your payment has been successfully processed by our shop system.","Ihre Zahlung war erfolgreich."
"Please click <a href="%s">here</a> if you are not redirected automatically.","Bitte klicken Sie <a href="%s">hier</a> wenn Sie nicht automatisch weitergeleitet werden."
"Customer was redirected to Worldpay.","Kunde wurde an Worldpay weitergeleitet."
"authorize:Customer returned successfully","Der Betrag wurde bei Worldpay vorautorisiert."
"authorize_capture:Customer returned successfully","Der Betrag wurde bei Worldpay autorisiert und abgebucht."
"Customer was rejected by Worldpay","Kunde wurde von Worldpay abgelehnt"
"Error occured","Ein Fehler trat auf"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Weiter einkaufen</a>."
"Worldpay Transaction ID: %s","Worldpay Transaction ID: %s"
"AVS status: %s","AVS Status: %s"
"worldpay_cc:You will be redirected to Worldpay website when you place an order.","Sie werden nach der Bestellung für die Eingabe Ihrer Kreditkartendaten an Worldpay weitergeleitet."
"Shopping basket","Warenkorb"
"Payment has not been processed yet.","Die Zahlung wurde noch nicht durchgeführt."
"Authorization","Autorisierung"
"Preauthorization","Vorautorisierung"
"Your purchase at","Ihr Einkauf bei"
